country,SPI,HDIrank,HDIindex,HDI_cat,happiness,gendereq,infantmort,birth_MF,sixty_MF,logGDP
Germany,88.69,5,0.934151871,Very High,6.873763084,0.765615967,0.0032,81,23.6,28.87742103
Ghana,58.19,140,0.587641612,Medium,4.514411449,0.705311814,0.0372,63.4,15.7,24.47988765
Greece,82.7,31,0.86827218,Very High,5.302619457,0.679542758,0.0042,81.2,23.9,25.98435371
Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.71869731
Grenada,NA,75,0.769676577,High,NA,NA,0.0151,73.4,19.1,20.7779326
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.47991613
Guatemala,58.56,127,0.648708172,Medium,6.358916283,0.666211204,0.0239,73.2,21.3,24.95248583
Guinea,37.56,175,0.449160552,Low,3.602854729,0.639948184,0.0581,59.8,15.3,22.95068398
Guinea-Bissau,NA,177,0.45327303,Low,NA,NA,0.0574,59.8,15.2,20.88725751
Guyana,60.26,125,0.651935036,Medium,NA,NA,0.0267,66.2,16.8,21.97717792
Haiti,NA,168,0.495547671,Low,3.352300167,NA,0.055,63.5,17.7,22.79903177
Honduras,57,133,0.614375729,Medium,5.648154736,0.689586894,0.0162,75.2,22.4,23.7979912
Hong Kong SAR China,NA,7,0.929639512,Very High,5.498420715,NA,NA,NA,NA,26.49433617
Hungary,80.09,45,0.835105314,Very High,5.448901653,0.669481829,0.0041,76,20.1,25.55809431
Iceland,89.62,6,0.933130112,Very High,7.510034561,0.873670085,0.0017,82.4,24.7,23.73408858
